id,gid,x,y,v_x,v_y,radius,time
32,1,5.377882,1.678437,-0.211474,-0.459949,0.200000,1.700000
33,1,7.797703,3.825935,-0.239280,-1.153795,0.200000,1.700000
34,1,5.099438,5.079504,0.099637,-1.127645,0.200000,1.700000
35,1,8.923500,2.332242,-0.322903,-0.944554,0.200000,1.700000
36,1,6.123543,2.848967,-0.030401,-0.913470,0.200000,1.700000
37,1,8.184617,2.444859,-0.320952,-1.114036,0.200000,1.700000
38,1,8.903746,3.275559,-0.286537,-0.894692,0.200000,1.700000
39,1,6.815929,7.236199,0.012913,-1.256774,0.200000,1.700000
0,0,8.745027,0.132068,-0.985080,-0.327517,0.200000,1.750000
1,0,10.851601,0.226225,-1.154727,-0.480587,0.200000,1.750000
2,0,6.048710,-0.547171,-1.055869,-0.298044,0.200000,1.750000
3,0,5.089563,-1.283412,-1.273598,-0.176962,0.200000,1.750000
4,0,7.638165,0.465202,-0.832252,-0.329991,0.200000,1.750000
5,0,3.835354,0.441137,-1.250383,0.040889,0.200000,1.750000
6,0,12.008511,-0.984189,-1.161633,-0.120073,0.200000,1.750000
7,0,9.367869,-0.483416,-1.103852,-0.392432,0.200000,1.750000
8,0,11.638255,-0.449100,-1.125345,0.034663,0.200000,1.750000
9,0,6.809290,-0.766008,-1.026865,-0.363715,0.200000,1.750000
10,0,5.835520,0.109228,-0.764120,-0.206522,0.200000,1.750000
11,0,13.057299,-0.631655,-1.266684,0.044309,0.200000,1.750000
12,0,11.875287,0.557980,-0.990304,-0.021533,0.200000,1.750000
13,0,7.143596,-0.139773,-1.048554,-0.295512,0.200000,1.750000
14,0,5.207102,-0.600336,-1.241957,-0.172365,0.200000,1.750000
15,0,12.039480,1.196894,-1.192102,0.112577,0.200000,1.750000
16,0,4.570737,-0.179395,-1.339559,-0.071584,0.200000,1.750000
17,0,5.726528,0.824260,-0.924776,-0.258996,0.200000,1.750000
18,0,8.074219,-0.691641,-1.082027,-0.296762,0.200000,1.750000
19,0,5.842665,-1.292748,-1.195328,-0.297947,0.200000,1.750000
20,1,6.995143,6.042750,-0.213349,-1.211433,0.200000,1.750000
21,1,7.975601,-5.854463,-0.290349,-1.233754,0.200000,1.750000
22,1,6.483126,1.307878,-0.533881,-0.608941,0.200000,1.750000
23,1,8.596053,-4.708705,-0.366024,-1.213457,0.200000,1.750000
24,1,5.498558,3.939829,0.128956,-1.055638,0.200000,1.750000
25,1,8.115351,-3.707659,-0.221215,-1.248005,0.200000,1.750000
26,1,6.833182,4.907891,0.014005,-1.159120,0.200000,1.750000
27,1,4.683450,0.475131,-0.531294,-0.441383,0.200000,1.750000
28,1,4.352737,1.851089,-0.519660,-0.705454,0.200000,1.750000
29,1,4.015539,-1.003097,-0.045344,-1.354830,0.200000,1.750000
30,1,7.267102,2.184335,-0.290155,-0.919296,0.200000,1.750000
31,1,7.192769,-6.047570,-0.061744,-1.265954,0.200000,1.750000
32,1,5.371905,1.659141,-0.119525,-0.385909,0.200000,1.750000
33,1,7.786200,3.768215,-0.230060,-1.154395,0.200000,1.750000
34,1,5.104100,5.022637,0.093246,-1.137334,0.200000,1.750000
35,1,8.908823,2.286486,-0.293534,-0.915126,0.200000,1.750000
36,1,6.120945,2.802081,-0.051963,-0.937710,0.200000,1.750000
37,1,8.165900,2.388153,-0.374341,-1.134115,0.200000,1.750000
38,1,8.888481,3.229774,-0.305304,-0.915687,0.200000,1.750000
39,1,6.816552,7.173310,0.012461,-1.257769,0.200000,1.750000
0,0,8.696133,0.114641,-0.977873,-0.348536,0.200000,1.800000
1,0,10.794241,0.201941,-1.147195,-0.485674,0.200000,1.800000
2,0,5.995155,-0.561644,-1.071108,-0.289461,0.200000,1.800000
3,0,5.024677,-1.294309,-1.297717,-0.217943,0.200000,1.800000
4,0,7.594607,0.447550,-0.871151,-0.353052,0.200000,1.800000
5,0,3.772455,0.442988,-1.257990,0.037026,0.200000,1.800000
6,0,11.950838,-0.990432,-1.153462,-0.124856,0.200000,1.800000
7,0,9.312630,-0.502774,-1.104781,-0.387152,0.200000,1.800000
8,0,11.582422,-0.449490,-1.116666,-0.007807,0.200000,1.800000
9,0,6.756908,-0.785105,-1.047630,-0.381941,0.200000,1.800000
10,0,5.798966,0.097620,-0.731078,-0.232168,0.200000,1.800000
11,0,12.995823,-0.630301,-1.229505,0.027089,0.200000,1.800000
12,0,11.825346,0.557757,-0.998818,-0.004452,0.200000,1.800000
13,0,7.093096,-0.151969,-1.009992,-0.243934,0.200000,1.800000
14,0,5.145652,-0.603870,-1.228996,-0.070678,0.200000,1.800000
15,0,11.979471,1.201362,-1.200172,0.089367,0.200000,1.800000
16,0,4.504099,-0.182830,-1.332773,-0.068698,0.200000,1.800000
17,0,5.681203,0.816671,-0.906514,-0.151775,0.200000,1.800000
18,0,8.019860,-0.705878,-1.087176,-0.284738,0.200000,1.800000
19,0,5.781917,-1.306362,-1.214966,-0.272264,0.200000,1.800000
20,1,6.984514,5.982077,-0.212578,-1.213457,0.200000,1.800000
21,1,7.961046,-5.916309,-0.291094,-1.236922,0.200000,1.800000
22,1,6.455688,1.276695,-0.548753,-0.623650,0.200000,1.800000
23,1,8.577705,-4.769534,-0.366964,-1.216573,0.200000,1.800000
24,1,5.505685,3.887323,0.142537,-1.050121,0.200000,1.800000
25,1,8.104262,-3.770219,-0.221783,-1.251209,0.200000,1.800000
26,1,6.833853,4.849907,0.013412,-1.159663,0.200000,1.800000
27,1,4.654903,0.446992,-0.570935,-0.562772,0.200000,1.800000
28,1,4.325475,1.817391,-0.545241,-0.673971,0.200000,1.800000
29,1,4.015545,-1.070234,0.000121,-1.342735,0.200000,1.800000
30,1,7.251570,2.138144,-0.310629,-0.923810,0.200000,1.800000
31,1,7.189674,-6.111030,-0.061902,-1.269204,0.200000,1.800000
32,1,5.366080,1.634814,-0.116506,-0.486542,0.200000,1.800000
33,1,7.774181,3.710511,-0.240377,-1.154069,0.200000,1.800000
34,1,5.108640,4.966163,0.090796,-1.129485,0.200000,1.800000
35,1,8.893052,2.239908,-0.315432,-0.931548,0.200000,1.800000
36,1,6.118131,2.755438,-0.056277,-0.932863,0.200000,1.800000
37,1,8.149722,2.330729,-0.323566,-1.148490,0.200000,1.800000
38,1,8.873666,3.184581,-0.296305,-0.903855,0.200000,1.800000
39,1,6.817096,7.110399,0.010881,-1.258230,0.200000,1.800000
0,0,8.646741,0.096827,-0.987854,-0.356287,0.200000,1.850000
1,0,10.737495,0.176829,-1.134930,-0.502251,0.200000,1.850000
2,0,5.942675,-0.575667,-1.049606,-0.280477,0.200000,1.850000
3,0,4.972961,-1.291442,-1.034330,0.057324,0.200000,1.850000
4,0,7.552540,0.430101,-0.841342,-0.348978,0.200000,1.850000
5,0,3.709204,0.444643,-1.265010,0.033105,0.200000,1.850000
6,0,11.894362,-0.998298,-1.129507,-0.157326,0.200000,1.850000
7,0,9.257493,-0.522992,-1.102745,-0.404359,0.200000,1.850000
8,0,11.526766,-0.449944,-1.113132,-0.009076,0.200000,1.850000
9,0,6.704857,-0.803043,-1.041032,-0.358762,0.200000,1.850000
10,0,5.759352,0.088509,-0.792269,-0.182221,0.200000,1.850000
11,0,12.935416,-0.629205,-1.208137,0.021921,0.200000,1.850000
12,0,11.774992,0.557514,-1.007078,-0.004868,0.200000,1.850000
13,0,7.041420,-0.166296,-1.033534,-0.286530,0.200000,1.850000
14,0,5.082324,-0.614438,-1.266565,-0.211352,0.200000,1.850000
15,0,11.919159,1.204780,-1.206250,0.068356,0.200000,1.850000
16,0,4.437388,-0.185947,-1.334216,-0.062349,0.200000,1.850000
17,0,5.637223,0.808877,-0.879596,-0.155879,0.200000,1.850000
18,0,7.964951,-0.720873,-1.098183,-0.299890,0.200000,1.850000
19,0,5.720508,-1.319043,-1.228173,-0.253621,0.200000,1.850000
20,1,6.973907,5.921359,-0.212136,-1.214364,0.200000,1.850000
21,1,7.946458,-5.978298,-0.291765,-1.239773,0.200000,1.850000
22,1,6.430547,1.245053,-0.502821,-0.632857,0.200000,1.850000
23,1,8.559314,-4.830502,-0.367810,-1.219377,0.200000,1.850000
24,1,5.512593,3.834779,0.138164,-1.050885,0.200000,1.850000
25,1,8.093147,-3.832924,-0.222295,-1.254093,0.200000,1.850000
26,1,6.834591,4.791971,0.014767,-1.158733,0.200000,1.850000
27,1,4.627906,0.424457,-0.539933,-0.450703,0.200000,1.850000
28,1,4.298000,1.782639,-0.549506,-0.695044,0.200000,1.850000
29,1,4.003858,-1.148549,-0.233739,-1.566315,0.200000,1.850000
30,1,7.237375,2.091900,-0.283908,-0.924884,0.200000,1.850000
31,1,7.186572,-6.174636,-0.062045,-1.272130,0.200000,1.850000
32,1,5.356717,1.610998,-0.187256,-0.476327,0.200000,1.850000
33,1,7.762208,3.652653,-0.239460,-1.157166,0.200000,1.850000
34,1,5.112931,4.909552,0.085827,-1.132217,0.200000,1.850000
35,1,8.877721,2.194235,-0.306610,-0.913463,0.200000,1.850000
36,1,6.115774,2.707817,-0.047140,-0.952433,0.200000,1.850000
37,1,8.132058,2.272301,-0.353264,-1.168546,0.200000,1.850000
38,1,8.859085,3.139409,-0.291612,-0.903449,0.200000,1.850000
39,1,6.817554,7.047463,0.009163,-1.258707,0.200000,1.850000
0,0,8.597353,0.077960,-0.987750,-0.377338,0.200000,1.900000
1,0,10.681942,0.152369,-1.111049,-0.489189,0.200000,1.900000
2,0,5.890569,-0.590124,-1.042106,-0.289131,0.200000,1.900000
3,0,4.915629,-1.298680,-1.146628,-0.144748,0.200000,1.900000
4,0,7.510456,0.412172,-0.841687,-0.358567,0.200000,1.900000
5,0,3.645570,0.446220,-1.272698,0.031540,0.200000,1.900000
6,0,11.837966,-1.005894,-1.127926,-0.151923,0.200000,1.900000
7,0,9.202606,-0.543251,-1.097733,-0.405179,0.200000,1.900000
8,0,11.472071,-0.452202,-1.093890,-0.045158,0.200000,1.900000
9,0,6.652217,-0.821615,-1.052792,-0.371431,0.200000,1.900000
10,0,5.721392,0.079299,-0.759209,-0.184195,0.200000,1.900000
11,0,12.875810,-0.628226,-1.192126,0.019573,0.200000,1.900000
12,0,11.725010,0.555789,-0.999641,-0.034506,0.200000,1.900000
13,0,6.989558,-0.179164,-1.037231,-0.257364,0.200000,1.900000
14,0,5.017993,-0.609132,-1.286621,0.106121,0.200000,1.900000
15,0,11.859540,1.209626,-1.192368,0.096913,0.200000,1.900000
16,0,4.371067,-0.189044,-1.326411,-0.061927,0.200000,1.900000
17,0,5.593533,0.803199,-0.873799,-0.113557,0.200000,1.900000
18,0,7.909892,-0.735781,-1.101175,-0.298162,0.200000,1.900000
19,0,5.662323,-1.333659,-1.163709,-0.292335,0.200000,1.900000
20,1,6.963266,5.860590,-0.212818,-1.215390,0.200000,1.900000
21,1,7.931840,-6.040415,-0.292369,-1.242338,0.200000,1.900000
22,1,6.406428,1.212635,-0.482392,-0.648351,0.200000,1.900000
23,1,8.540886,-4.891597,-0.368571,-1.221900,0.200000,1.900000
24,1,5.518938,3.781822,0.126899,-1.059132,0.200000,1.900000
25,1,8.082009,-3.895758,-0.222755,-1.256688,0.200000,1.900000
26,1,6.834968,4.733809,0.007530,-1.163236,0.200000,1.900000
27,1,4.599652,0.398859,-0.565091,-0.511970,0.200000,1.900000
28,1,4.269298,1.748070,-0.574033,-0.691373,0.200000,1.900000
29,1,3.995424,-1.225190,-0.168684,-1.532820,0.200000,1.900000
30,1,7.223202,2.045506,-0.283458,-0.927891,0.200000,1.900000
31,1,7.183463,-6.238374,-0.062173,-1.274762,0.200000,1.900000
32,1,5.347197,1.586316,-0.190413,-0.493638,0.200000,1.900000
33,1,7.750400,3.594878,-0.236165,-1.155505,0.200000,1.900000
34,1,5.116986,4.852729,0.081087,-1.136473,0.200000,1.900000
35,1,8.861020,2.146952,-0.334026,-0.945671,0.200000,1.900000
36,1,6.112155,2.659557,-0.072383,-0.965196,0.200000,1.900000
37,1,8.115900,2.213180,-0.323167,-1.182432,0.200000,1.900000
38,1,8.843374,3.093758,-0.314225,-0.913018,0.200000,1.900000
39,1,6.817933,6.984519,0.007578,-1.258896,0.200000,1.900000
0,0,8.547619,0.058310,-0.994689,-0.393000,0.200000,1.950000
1,0,10.627240,0.126859,-1.094046,-0.510211,0.200000,1.950000
2,0,5.838199,-0.603948,-1.047402,-0.276475,0.200000,1.950000
3,0,4.855072,-1.303237,-1.211146,-0.091133,0.200000,1.950000
4,0,7.467948,0.392493,-0.850156,-0.393580,0.200000,1.950000
5,0,3.581639,0.447605,-1.278602,0.027698,0.200000,1.950000
6,0,11.782921,-1.015049,-1.100893,-0.183090,0.200000,1.950000
7,0,9.148298,-0.563882,-1.086160,-0.412633,0.200000,1.950000
8,0,11.417527,-0.454182,-1.090872,-0.039604,0.200000,1.950000
9,0,6.600298,-0.839816,-1.038389,-0.364013,0.200000,1.950000
10,0,5.682031,0.072676,-0.787223,-0.132453,0.200000,1.950000
